Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Michoacán de Ocampo,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Michoacán de Ocampo,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,16.0,18.9,22.1,9.2
Morelos,Índice,51 Información en medios masivos,49.9,71.8,64.9,65.3
Morelos,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Morelos,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Morelos,Índice,61 Servicios educativos,95.8,88.6,80.5,76.2
Morelos,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Morelos,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Morelos,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,52.0,59.3,64.1,72.7
Morelos,Variación anual del índice,51 Información en medios masivos,9.2,63.8,30.0,-9.0
Morelos,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Morelos,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Morelos,Variación anual del índice,61 Servicios educativos,19.0,16.2,-15.9,-14.0
Morelos,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Morelos,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Morelos,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-38.6,-23.4,23.2,22.6
Nayarit,Índice,51 Información en medios masivos,47.4,55.3,63.0,58.2
Nayarit,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Nayarit,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Nayarit,Índice,61 Servicios educativos,ND,ND,ND,ND
Nayarit,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nayarit,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Nayarit,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,101.9,126.5,100.5,115.6
Nayarit,Variación anual del índice,51 Información en medios masivos,16.3,52.2,33.1,5.2
Nayarit,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Nayarit,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Nayarit,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Nayarit,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nayarit,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Nayarit,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,24.2,-0.5,-1.3,-8.7
Nuevo León,Índice,51 Información en medios masivos,72.6,70.9,77.1,76.6
Nuevo León,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,153.3,162.1,118.2,107.6
Nuevo León,Índice,"54 Servicios profesionales, científicos y técnicos",154.8,166.0,149.4,146.0
Nuevo León,Índice,61 Servicios educativos,ND,ND,ND,ND
Nuevo León,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nuevo León,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",91.3,79.6,101.2,98.7
Nuevo León,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,77.1,82.1,57.8,60.5
Nuevo León,Variación anual del índice,51 Información en medios masivos,-0.3,-4.1,6.2,8.0
Nuevo León,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,39.8,51.8,-22.9,-33.6
Nuevo León,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",77.3,84.4,-3.5,-12.0
Nuevo León,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Nuevo León,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Nuevo León,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",-9.8,-2.6,10.8,23.9
Nuevo León,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,14.4,75.1,-25.1,-26.3
Oaxaca,Índice,51 Información en medios masivos,82.4,84.5,73.8,66.6
Oaxaca,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Oaxaca,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Oaxaca,Índice,61 Servicios educativos,ND,ND,ND,ND
Oaxaca,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Oaxaca,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Oaxaca,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,132.9,123.5,137.0,141.6
Oaxaca,Variación anual del índice,51 Información en medios masivos,33.0,29.7,-10.4,-21.1
Oaxaca,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Oaxaca,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Oaxaca,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Oaxaca,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Oaxaca,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Oaxaca,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,67.1,12.9,3.1,14.7
Puebla,Índice,51 Información en medios masivos,58.9,87.4,72.0,67.4
Puebla,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Puebla,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Puebla,Índice,61 Servicios educativos,97.0,96.2,92.4,88.0
Puebla,Índice,62 Servicios de salud y de asistencia social,87.2,83.2,84.8,84.0
Puebla,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Puebla,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,98.4,100.6,122.5,127.7
Puebla,Variación anual del índice,51 Información en medios masivos,25.8,120.3,22.2,-22.8
Puebla,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Puebla,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Puebla,Variación anual del índice,61 Servicios educativos,35.5,5.7,-4.7,-8.5
Puebla,Variación anual del índice,62 Servicios de salud y de asistencia social,0.3,-2.1,-2.7,1.0
Puebla,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Puebla,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,22.8,-25.6,24.5,27.0
Querétaro,Índice,51 Información en medios masivos,87.0,91.0,114.6,100.3
Querétaro,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Querétaro,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Querétaro,Índice,61 Servicios educativos,ND,ND,ND,ND
Querétaro,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Querétaro,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Querétaro,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,111.8,100.3,90.7,100.9
Querétaro,Variación anual del índice,51 Información en medios masivos,10.5,79.3,31.7,10.2
Querétaro,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Querétaro,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Querétaro,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Querétaro,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Querétaro,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Querétaro,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,35.9,32.1,-18.9,0.6
Quintana Roo,Índice,51 Información en medios masivos,62.0,74.0,55.0,51.6
Quintana Roo,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Quintana Roo,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Quintana Roo,Índice,61 Servicios educativos,ND,ND,ND,ND
Quintana Roo,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Quintana Roo,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",118.1,118.3,87.5,88.8
Quintana Roo,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,80.0,88.0,59.2,65.7
Quintana Roo,Variación anual del índice,51 Información en medios masivos,20.9,68.1,-11.2,-30.4
Quintana Roo,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Quintana Roo,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Quintana Roo,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Quintana Roo,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Quintana Roo,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",27.1,26.1,-25.9,-24.9
Quintana Roo,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.4,-5.9,-26.0,-25.3
San Luis Potosí,Índice,51 Información en medios masivos,69.5,69.6,88.8,87.7
San Luis Potosí,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
San Luis Potosí,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
San Luis Potosí,Índice,61 Servicios educativos,ND,ND,ND,ND
San Luis Potosí,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
San Luis Potosí,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
San Luis Potosí,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,102.9,102.8,90.7,98.9
San Luis Potosí,Variación anual del índice,51 Información en medios masivos,2.6,17.4,27.7,26.1
San Luis Potosí,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
San Luis Potosí,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
San Luis Potosí,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
San Luis Potosí,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
San Luis Potosí,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
San Luis Potosí,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,24.8,37.9,-11.9,-3.8
Sinaloa,Índice,51 Información en medios masivos,87.7,110.2,105.3,115.4
Sinaloa,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Sinaloa,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Sinaloa,Índice,61 Servicios educativos,ND,ND,ND,ND
Sinaloa,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Sinaloa,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Sinaloa,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,95.9,96.7,88.9,91.1
Sinaloa,Variación anual del índice,51 Información en medios masivos,-9.0,27.7,20.1,4.7
Sinaloa,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Sinaloa,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Sinaloa,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Sinaloa,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Sinaloa,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Sinaloa,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-5.0,3.2,-7.3,-5.8
Sonora,Índice,51 Información en medios masivos,62.9,65.3,63.2,68.6
Sonora,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Sonora,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Sonora,Índice,61 Servicios educativos,ND,ND,ND,ND
Sonora,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Sonora,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Sonora,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,124.5,122.8,142.2,150.5
Sonora,Variación anual del índice,51 Información en medios masivos,-1.4,8.2,0.5,5.1
Sonora,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Sonora,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Sonora,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Sonora,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Sonora,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Sonora,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,61.7,29.3,14.2,22.6
Tabasco,Índice,51 Información en medios masivos,71.1,77.6,80.9,78.8
Tabasco,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,87.7,91.4,77.5,74.1
Tabasco,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Tabasco,Índice,61 Servicios educativos,ND,ND,ND,ND
Tabasco,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Tabasco,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Tabasco,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,87.9,89.6,65.8,64.7
Tabasco,Variación anual del índice,51 Información en medios masivos,-0.3,21.9,13.8,1.6
Tabasco,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,-13.2,-1.9,-11.7,-18.9
Tabasco,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Tabasco,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Tabasco,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Tabasco,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Tabasco,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.3,20.0,-25.1,-27.8
Tamaulipas,Índice,51 Información en medios masivos,128.1,128.3,126.9,131.7
Tamaulipas,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Tamaulipas,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Tamaulipas,Índice,61 Servicios educativos,ND,ND,ND,ND
Tamaulipas,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Tamaulipas,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Tamaulipas,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,80.8,88.2,102.3,108.5
Tamaulipas,Variación anual del índice,51 Información en medios masivos,8.8,4.1,-1.0,2.6
Tamaulipas,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Tamaulipas,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Tamaulipas,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Tamaulipas,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Tamaulipas,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Tamaulipas,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-7.7,39.5,26.7,23.0
Tlaxcala,Índice,51 Información en medios masivos,63.1,79.9,75.2,76.5
Tlaxcala,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Tlaxcala,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Tlaxcala,Índice,61 Servicios educativos,ND,ND,ND,ND
Tlaxcala,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Tlaxcala,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Tlaxcala,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,76.2,73.8,61.1,78.9
Tlaxcala,Variación anual del índice,51 Información en medios masivos,10.0,72.2,19.0,-4.2
Tlaxcala,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Tlaxcala,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Tlaxcala,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Tlaxcala,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Tlaxcala,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Tlaxcala,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-8.6,-4.4,-19.8,6.9
Veracruz de Ignacio de la Llave,Índice,51 Información en medios masivos,54.5,58.8,60.5,61.1
Veracruz de Ignacio de la Llave,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Índice,61 Servicios educativos,70.1,70.0,76.7,86.2
Veracruz de Ignacio de la Llave,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,104.2,96.0,99.4,82.9
Veracruz de Ignacio de la Llave,Variación anual del índice,51 Información en medios masivos,6.3,91.2,11.1,4.0
Veracruz de Ignacio de la Llave,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Variación anual del índice,61 Servicios educativos,31.4,7.8,9.4,23.1
Veracruz de Ignacio de la Llave,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Veracruz de Ignacio de la Llave,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,42.8,-3.6,-4.6,-13.7
Yucatán,Índice,51 Información en medios masivos,60.7,69.4,73.5,66.0
Yucatán,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,75.0,75.8,80.2,78.9
Yucatán,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Yucatán,Índice,61 Servicios educativos,ND,ND,ND,ND
Yucatán,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Yucatán,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Yucatán,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,158.1,166.1,164.3,170.5
Yucatán,Variación anual del índice,51 Información en medios masivos,-1.1,20.7,21.2,-5.0
Yucatán,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,-26.8,12.7,6.9,4.1
Yucatán,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Yucatán,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Yucatán,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Yucatán,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Yucatán,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,69.7,66.7,4.0,2.6
Zacatecas,Índice,51 Información en medios masivos,103.3,116.9,105.4,137.9
Zacatecas,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Zacatecas,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Zacatecas,Índice,61 Servicios educativos,ND,ND,ND,ND
Zacatecas,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Zacatecas,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Zacatecas,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,68.2,69.6,46.6,48.9
Zacatecas,Variación anual del índice,51 Información en medios masivos,15.4,29.3,2.1,17.9
Zacatecas,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Zacatecas,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Zacatecas,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Zacatecas,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Zacatecas,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Zacatecas,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-25.8,-21.2,-31.7,-29.7
